	Y	N
NB12052502	0	1
NB12052801	0	1
NB12052802	0	1
NB12052803	0	1
NB12052804	0	1
NB12052805	0	1
NB12052806	0	1
NB12052901	0	1
NB12052902	0	1
NB12053001	0	1
NB12053002	0	1
NB12053101	0	1
NB12053102	0	1
NB12053103	0	1
NB12053104	0	1
NB12060101	0	1
NB12060401	0	1
NB12060405	0	1
NB12060501	0	1
NB12060502	0	1
NB12060503	0	1
NB12060504	0	1
NB12060601	0	1
NB12060602	0	1
NB12060603	0	1
NB12060604	0	1
NB12060701	0	1
NB12060702	0	1
NB12060704	0	1
NB12060802	0	1
NB12060803	0	1
NB12060804	0	1
NB12060805	0	1
NB12061102	0	1
NB12061103	0	1
NB12061104	0	1
NB12061201	0	1
NB12061202	0	1
NB12061203	0	1
NB12061301	0	1
NB12061302	0	1
NB12061303	0	1
NB12061304	0	1
NB12061401	0	1
NB12061501	0	1
NB12061502	0	1
NB12061503	0	1
NB12061504	0	1
NB12061801	0	1
NB12061802	0	1
NB12061803	0	1
NB12061804	0	1
NB12061901	0	1
NB12061902	0	1
NB12062001	0	1
NB12062002	0	1
NB12062003	0	1
NB12062004	0	1
NB12062005	0	1
NB12062101	0	1
NB12062102	0	1
NB12062103	0	1
NB12062201	0	1
NB12062202	0	1
NB12062203	0	1
NB12062204	0	1
NB12062501	0	1
NB12062502	0	1
NB12062504	0	1
NB12062505	0	1
NB12062601	0	1
NB12062602	0	1
NB12062603	0	1
NB12062604	0	1
NB12062701	0	1
NB12062702	0	1
NB12062703	0	1
NB12062704	0	1
NB12062801	0	1
NB12062802	0	1
NB12070201	0	1
NB12070202	0	1
NB12070203	0	1
NB12070204	0	1
NB12070302	0	1
NB12070303	0	1
NB12070304	0	1
NB12070401	0	1
NB12070402	0	1
NB12070501	0	1
NB12070502	0	1
NB12070601	0	1
NB12070602	0	1
NB12070603	0	1
NB12070904	0	1
NB12071001	0	1
NB12071002	0	1
NB12071102	0	1
NB12071103	0	1
NB12071104	0	1
NB12071201	0	1
NB12071203	0	1
NB12071204	0	1
NB12071701	0	1
NB12071702	0	1
NB12071801	0	1
NB12071802	0	1
NB12071803	0	1
NB12071804	0	1
NB12071901	0	1
NB12071902	0	1
NB12071903	0	1
NB12072001	0	1
NB12072002	0	1
NB12072003	0	1
NB12072301	0	1
NB12072302	0	1
NB12072303	0	1
NB12072304	0	1
NB12072403	0	1
NB12072404	0	1
NB12072502	0	1
NB12072503	0	1
NB12072601	0	1
NB12072701	0	1
NB12072703	0	1
NB12073003	0	1
NB12073004	0	1
NB12073005	0	1
NB12073006	0	1
NB12073101	0	1
NB12073103	0	1
NB12080202	0	1
NB12080304	0	1
NB12080601	0	1
NB12080602	0	1
NB12080603	0	1
NB12080701	0	1
NB12080702	0	1
NB12080901	0	1
NB12080902	0	1
NB12081001	0	1
NB12081002	0	1
NB12081004	0	1
NB12081005	0	1
NB12081006	0	1
NB12081301	0	1
NB12081302	0	1
NB12081502	0	1
NB12081601	0	1
NB12081602	0	1
NB12081604	0	1
NB12081701	0	1
NB12081702	0	1
NB12082001	0	1
NB12082002	0	1
NB12082101	0	1
NB12082102	0	1
NB12082202	0	1
NB12082203	0	1
NB12082301	0	1
NB12082302	0	1
NB12082303	0	1
NB12082703	0	1
NB12082704	0	1
NB12082705	0	1
NB12082706	0	1
NB12082801	0	1
NB12083101	0	1
NB12083102	0	1
NB12090304	0	1
NB12090601	0	1
NB12091004	0	1
NB12091101	0	1
NB12091201	0	1
NB12091302	0	1
NB12091403	0	1
NB12091801	0	1
NB12091803	0	1
NB12091903	0	1
NB12091904	0	1
NB12091905	0	1
NB12092001	0	1
NB12092002	0	1
NB12092101	0	1
NB12092102	0	1
NB12092403	0	1
NB12092404	0	1
NB12092405	0	1
NB12092501	0	1
NB12092502	0	1
NB12092601	0	1
NB12092602	0	1
NB12092701	0	1
NB12092702	0	1
NB12092703	0	1
NB12092801	0	1
NB12100101	0	1
NB12100103	0	1
NB12100104	0	1
NB12100105	0	1
NB12100201	0	1
NB12100202	0	1
NB12100203	0	1
NB12100204	0	1
NB12100301	0	1
NB12100302	0	1
NB12100304	0	1
NB12100401	0	1
NB12100402	0	1
NB12100403	0	1
NB12100501	0	1
NB12100502	0	1
NB12100902	0	1
NB12100903	0	1
NB12100904	0	1
NB12100905	0	1
NB12101102	0	1
NB12101104	0	1
NB12101202	0	1
NB12101203	0	1
NB12101501	0	1
NB12101502	0	1
NB12101503	0	1
NB12101504	0	1
NB12101702	0	1
NB12101703	0	1
NB12101801	0	1
NB12101802	0	1
NB12101803	0	1
NB12101903	0	1
NB12102302	0	1
NB12102303	0	1
NB12102304	0	1
NB12102401	0	1
NB12102402	0	1
NB12102501	0	1
NB12102503	0	1
NB12102504	0	1
NB12102601	0	1
NB12102602	0	1
NB12102603	0	1
NB12102901	0	1
NB12102902	0	1
NB12103001	0	1
NB12103002	0	1
NB12103003	0	1
NB12103101	0	1
NB12103102	0	1
NB12103103	0	1
NB12103105	0	1
NB12110101	0	1
NB12110102	0	1
NB12110103	0	1
NB12110201	0	1
NB12110202	0	1
NB12110501	0	1
NB12110502	0	1
NB12110602	0	1
NB12110603	0	1
NB12110701	0	1
NB12110702	0	1
NB12110703	0	1
NB12110704	0	1
NB12110705	0	1
NB12110706	0	1
NB12110803	0	1
NB12110804	0	1
NB12111202	0	1
NB12111203	0	1
NB12111301	0	1
NB12111302	0	1
NB12111401	0	1
NB12111402	0	1
NB12111403	0	1
NB12111404	0	1
NB12111405	0	1
NB12111501	0	1
NB12111502	0	1
NB12111503	0	1
NB12111504	0	1
NB12111505	0	1
NB12111602	0	1
NB12111603	0	1
NB12111604	0	1
NB12111605	0	1
NB12111902	0	1
NB12111903	0	1
NB12111904	0	1
NB12111905	0	1
NB12111906	0	1
NB12111907	0	1
NB12112001	0	1
NB12112002	0	1
